feature	X470	X488	X569	X729	X1280	X1282	X1283	X1290	X1292	X1303	X1598	X28037	X29380	X29388	X29466	X29486	X33011	X39778	X40215	X40324	X41202	X47884	X52773	X237258	X261164	X308354	X349967	X521095	X756892	X768493	X985762	X1032069	X1054460	X1177574	X1408186	X1433513	X1523415	X1528099	X1699624	X1852377	X2546450	X495	X1605	X1622	X28090	X74426	X324831	X487	X490	X29384	X33033	X334413	X1276282	X38289	X535289	X1662285	X2231055	X1633	X28116	X104955	X182773	X679935	X693746	X929102	X1384484	X1712675	X1796613	X1796646	X1834205	X2107999	X2576606	X2585119	X2610895	X2650158	X2690380	X2724150	X945844	X2045208	X285	X42858	X53458	X80869	X135719	X262209	X857417	X1945662	X157687	X767453
barcode01	0	0	4.4594316186373	6.4093909361377	5.55458885167764	10.7607199474656	4.08746284125034	9.59432460392485	1.58496250072116	7.53915881110803	1	10.8017083589165	4.08746284125034	10.8749813476538	9.64745842645492	0	9.92481250360578	12.1851851668203	5.6724253419715	10.7665289085989	4.85798099512757	5.4594316186373	3.90689059560852	4.39231742277876	1.58496250072116	0	3.70043971814109	11.118292233027	0	0	1.58496250072116	8.66533591718518	6.2667865406949	13.3915121227071	1.58496250072116	6.84549005094437	10.6679985356725	7.65105169117893	2	7.20945336562895	5.85798099512757	8.25502856981873	0	6.04439411935845	0.584962500721156	-1	-1	-1	1.58496250072116	-1	7.17990909001493	-1	-1	2.4594316186373	2.8073549220576	8.09011241966429	5.4093909361377	-1	0.584962500721156	-1	0.584962500721156	2.70043971814109	-1	4.16992500144231	0	3.32192809488736	4	7.19475685442225	3.16992500144231	3.24792751344359	4.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	2.58496250072116	6.05528243550119	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode02	2.32192809488736	-1	-1	3.32192809488736	8.12412131182919	13.9187700850524	4.24792751344359	0	1.58496250072116	1	0	7.4757334309664	6.84549005094437	4.24792751344359	7.56985560833095	-1	-1	12.0199381564248	8.17492568250068	2.70043971814109	1	4.4594316186373	4.95419631038687	3.39231742277876	0.584962500721156	0	2.70043971814109	10.4928546201747	-1	-1	0.584962500721156	7.66533591718518	3.4594316186373	11.1376315982354	1	2	10.1774195379892	8.12412131182919	1	5.58496250072116	4.85798099512757	8.25502856981873	1	11.5082899861403	3.4594316186373	10.661778097772	0	-1	1.58496250072116	-1	7.17990909001493	-1	-1	2.4594316186373	2.8073549220576	8.09011241966429	5.4093909361377	-1	0.584962500721156	-1	0.584962500721156	2.70043971814109	-1	4.16992500144231	0	3.32192809488736	4	7.19475685442225	3.16992500144231	3.24792751344359	4.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	2.58496250072116	6.05528243550119	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode03	-1	10.1724275086455	-1	4.32192809488736	8.79116288855502	8.65105169117893	7.04439411935845	13.1234747982441	9.95274124718649	9.95128471496697	-1	11.6702136367386	3.16992500144231	3.8073549220576	8.37503943134693	-1	6.68650052718322	11.8749813476538	1.58496250072116	2.70043971814109	1	4.4594316186373	5.83289001416474	7.59991284218713	0.584962500721156	5.32192809488736	2.70043971814109	10.237209960755	-1	-1	0.584962500721156	7.66533591718518	0	11.0320457269308	-1	5.4594316186373	9.06339508128851	1.32192809488736	1	9.63299519714296	4.85798099512757	9.25502856981873	0	6.04439411935845	0.584962500721156	-1	-1	0	8.5077946401987	0	8.17990909001493	11.8595347863827	5.12928301694497	2.4594316186373	2.8073549220576	8.09011241966429	5.4093909361377	-1	0.584962500721156	-1	0.584962500721156	2.70043971814109	-1	4.16992500144231	0	3.32192809488736	4	7.19475685442225	3.16992500144231	3.24792751344359	4.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	2.58496250072116	6.05528243550119	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode04	-1	-1	0	3.32192809488736	3.70043971814109	10.8281364841941	2.32192809488736	1.58496250072116	0.584962500721156	9.07681559705083	0	12.4775053173697	2.8073549220576	2.8073549220576	4	-1	-1	10.8665062122262	0.584962500721156	2.70043971814109	2	4.4594316186373	3.32192809488736	8.92777796208234	0.584962500721156	-1	2.70043971814109	10.6812384117778	-1	-1	0.584962500721156	7.66533591718518	6.97727992349992	13.1119507061532	0	4.90689059560852	11.004922678569	11.7536346188534	1	4.75488750216347	4.85798099512757	8.25502856981873	0	6.04439411935845	0.584962500721156	-1	1.58496250072116	-1	1.58496250072116	-1	7.17990909001493	-1	0	10.6438561897747	10.661778097772	9.09011241966429	6.4093909361377	-1	0.584962500721156	-1	0.584962500721156	2.70043971814109	-1	4.16992500144231	0	3.32192809488736	4	7.19475685442225	3.16992500144231	3.24792751344359	4.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	2.58496250072116	6.05528243550119	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode05	-1	-1	-1	3.32192809488736	0.584962500721156	4.58496250072116	1.58496250072116	-1	0.584962500721156	0	12.6790401863931	1	0	2.8073549220576	0	-1	0	4.16992500144231	0.584962500721156	2.70043971814109	1	4.4594316186373	-1	3.39231742277876	0.584962500721156	-1	2.70043971814109	4.4594316186373	-1	-1	0.584962500721156	7.66533591718518	-1	0	13.4442384380781	1	4.16992500144231	2.32192809488736	1	4.70043971814109	4.85798099512757	8.25502856981873	2.58496250072116	11.0707918094231	0.584962500721156	0	13.0202855008446	-1	1.58496250072116	-1	7.17990909001493	0	-1	4.8073549220576	2.8073549220576	8.09011241966429	5.4093909361377	0	1.58496250072116	-1	3.70043971814109	3.70043971814109	0	5.16992500144231	1	5.64385618977472	5	8.19475685442225	7.4594316186373	4.24792751344359	10.240791332162	4.39231742277876	3.58496250072116	4.32192809488736	3.90689059560852	8.12412131182919	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode06	-1	-1	-1	3.32192809488736	1.58496250072116	9.16741814583174	0	-1	0.584962500721156	2.58496250072116	12.4450148458684	7.33985000288462	1	2.8073549220576	4.32192809488736	-1	-1	9.4757334309664	0.584962500721156	2.70043971814109	1	4.4594316186373	2.8073549220576	3.39231742277876	0.584962500721156	-1	2.70043971814109	0	-1	-1	0.584962500721156	7.66533591718518	3.4594316186373	9.44708322620965	13.4439795426013	4.08746284125034	7.18982455888002	1.32192809488736	1	3.70043971814109	4.85798099512757	8.25502856981873	1.58496250072116	10.4346282276367	0.584962500721156	-1	13.1127652818853	-1	1.58496250072116	-1	7.17990909001493	-1	-1	2.4594316186373	2.8073549220576	8.09011241966429	5.4093909361377	-1	0.584962500721156	-1	0.584962500721156	5.35755200461808	-1	4.16992500144231	0	4.32192809488736	4	8.29001884693262	4.16992500144231	4.52356195605701	7.35755200461808	6.20945336562895	2.58496250072116	3.32192809488736	3.58496250072116	8.99717948093762	0	0	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	9.80654962198596	5.24792751344359
barcode07	-1	2	-1	3.32192809488736	1.58496250072116	4.39231742277876	3.32192809488736	8.31741261376487	0.584962500721156	2.8073549220576	12.4895971223893	5.95419631038687	0	2.8073549220576	1	-1	6.2667865406949	4.58496250072116	0.584962500721156	3.70043971814109	1	4.4594316186373	0	3.39231742277876	0.584962500721156	-1	2.70043971814109	3.70043971814109	-1	-1	0.584962500721156	7.66533591718518	1	4.58496250072116	13.6975106073779	1	4.52356195605701	1.32192809488736	1	3.58496250072116	4.85798099512757	8.25502856981873	0	7.04439411935845	1.58496250072116	-1	13.3328757311527	-1	2.58496250072116	-1	7.17990909001493	-1	0	3.4594316186373	3.8073549220576	8.09011241966429	5.4093909361377	0	0.584962500721156	0	1.58496250072116	2.70043971814109	-1	6.04439411935845	0	5	4	7.19475685442225	3.16992500144231	4.90689059560852	5.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	4.39231742277876	7.05528243550119	-1	-1	3.4594316186373	4.70043971814109	2	0	1	2	0	0	9.80654962198596	5.24792751344359
barcode08	-1	-1	-1	3.32192809488736	0.584962500721156	1.58496250072116	-1	0	0.584962500721156	8.42206476617281	-1	8.69696752623429	0	2.8073549220576	10.1724275086455	-1	9.12412131182919	13.0005282339868	0.584962500721156	2.70043971814109	1	4.4594316186373	5.4594316186373	3.39231742277876	0.584962500721156	-1	2.70043971814109	1	-1	-1	0.584962500721156	7.66533591718518	3.70043971814109	13.3390148682501	-1	5.04439411935845	10.523561956057	7.25738784269265	1	12.4123052049553	4.85798099512757	8.25502856981873	0	6.04439411935845	0.584962500721156	-1	2	-1	1.58496250072116	-1	7.17990909001493	-1	-1	2.4594316186373	2.8073549220576	8.09011241966429	5.4093909361377	-1	0.584962500721156	-1	0.584962500721156	2.70043971814109	-1	4.16992500144231	0	3.32192809488736	4	7.19475685442225	3.16992500144231	3.24792751344359	4.35755200461808	3.39231742277876	2.58496250072116	3.32192809488736	2.58496250072116	8.8008998999203	-1	-1	2.4594316186373	3.70043971814109	1	-1	0	1	-1	-1	10.806549621986	6.24792751344359
