feature	X525919	X2725666	X334413	X562	X623	X114527	X347253	X28037	X1308	X1870984	X283734	X1343	X33040	X470	X1458465	X2664291	X1282	X29388	X2144175	X158836	X29380	X1328	X39778	X29466	X1596	X1303	X712633	X1194971	X1283	X1433513	X1280	X89152	X1379	X621	X76857	X1812935	X1398	X617123	X28035	X729	X946333	X13689	X1335	X1496	X2599308	X147802	X837	X622	X113107	X1313	X39777	X573	X1888195	X33033	X46125	X1134687	X29385	X1305	X760570	X1404	X28901	X203275	X889201	X2696060	X34062	X1613	X267747	X1587	X1938606	X747	X294	X537973	X408	X40214	X1292	X1290	X1314884	X29430	X47770	X303	X1310	X2714946	X1054460	X546269	X29391	X726	X490	X488	X1276282	X1302	X44008	X2025492	X223967	X104955	X712310	X2728020	X1016987	X824	X546271	X727	X693986	X1549858	X1884263	X1523415	X1560345	X539	X653931	X152682	X13690	X335406	X93064	X41276	X378753	X2711215	X1609977	X424800	X1850238	X1123269	X190148	X2126319	X108980	X436515	X29429	X945844	X929102	X871742	X1707785	X2045208	X2072590	X1855823	X1882682	X1367847	X28090	X1077935	X2500532	X234267	X2082188	X588932	X1491	X82367	X2018065	X34004	X28038	X204	X1397	X1270	X40324	X2490939	X2065379	X1545044	X2725684	X147645	X1423723	X735	X407035	X1176536	X272123	X321984	X2182384	X417367	X195105	X1813821	X2303750	X418223	X595537	X908290	X2057741	X39960	X2488560	X1892855	X203	X157687	X1827469	X1633	X2479393	X1329	X270351	X2202825	X1170318	X2498451	X2724619	X1945662	X674703	X135740	X266	X1532023	X450851	X2201350	X2294119	X314722	X2587858	X1520	X2175091	X74329	X1061	X1499308	X169480	X2547962	X83427	X267632	X158754	X293405	X169976	X199684	X316087	X292277	X658225	X74696	X328225	X663950	X327691	X41431
paraffin_ctrl_148	17	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	4	12	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	5	0	160	22	0	28	5	0	1	18	0	0	13	0	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	54	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_149	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	5	0	0	0	0	2	0	162	19	0	15	5	0	0	18	0	0	15	1	3	1	8	0	0	0	0	3	2	0	2	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	99	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2	0	241	41	0	52	9	1	0	31	0	0	33	2	2	1	11	0	0	0	0	2	2	0	2	6	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_151	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	173	31	0	13	2	0	1	22	0	0	35	1	3	3	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
buffer_ctrl_152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	3	0	261	31	0	110	3	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_153	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	174	3	0	0	3	0	0	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	57	2	0	16	2	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	25	49	0	0	0	19	1	0	3	0	0	0	0	0	0	18	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_154	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	36	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	235	34	0	125	15	0	5	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_155	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	14	0	42	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	93	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	25	0	0	0	0	1	0	0	0	0	1	0	144	17	0	15	5	0	0	11	0	0	25	4	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_156	0	0	0	353	6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	1	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
paraffin_ctrl_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	188	22	0	72	8	1	13	6	0	0	0	0	0	0	1	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
