feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
CSM5FZ4C_P	-6.10651925068027	-5.60207603080853	-5.96932285492796	-5.54927947971836	-5.64331037624251	-5.95048621917103	-6.04380124655018	-4.44278094247733	-5.57868405794273	-5.45218433429547	-5.58412893864199	-5.41322895283941	-6.84355680276681	-5.58669836341873	-5.49623201435145	-5.56715688145896	-5.40412547493323	-5.65844275006271	-5.57400565873643	-6.65807073023011	-5.610453348552	-5.46069824693924	-5.21474956208586	-5.62679878517966	-5.62541459205156	-5.70583228944774	-6.00210620451788	-5.5050952794707	-5.8022376536986	-5.62541459205156	-5.37871801851013	-5.43377877758552	-5.41083872202477	-5.27044815024451	-5.43224608325637	-6.06034677228835	-5.62978915763332	-6.34999151978623	-5.36422746740461	-5.34292587979972	-5.6151271361484	-8.94258134727557	-5.75226424840398	-6.28031903743288	-6.00224731212621	-5.610453348552	-5.69826397511261	-5.39013846705164	-5.82868265359322	-5.45249204122186
CSM5FZ4E_P	-6.1138223976293	-5.63027588076389	-5.95534986726615	-5.51734795672958	-5.62086163442955	-5.93735062384602	-6.05577700819441	-4.48940210180437	-5.50743175192616	-5.5507092914683	-5.60339621293675	-5.45041221071622	-6.6104069642301	-5.58796409241884	-5.437178541466	-5.82289546707462	-5.46116770624984	-5.62084514314085	-5.5093080367663	-6.37232428571704	-5.40240482625625	-5.41514316024102	-5.35898690135083	-5.55047368082072	-5.51361516844303	-5.8832027442206	-5.80243470436895	-5.56768776121956	-5.95654084270825	-5.51361516844303	-5.3961322753603	-5.42603773255524	-5.43402029753683	-5.37643562487212	-5.45059905722832	-5.73126739938613	-5.7004133355272	-6.84408848615086	-5.39668983048528	-5.41717516069405	-5.76256378364613	-8.1647585904362	-5.9338380009617	-5.79892744438033	-5.99103421222067	-5.40240482625625	-5.77678813562752	-5.58970202436861	-5.70192149620593	-5.48924967690965
CSM5FZ4G_P	-6.04875842254408	-5.60758848995002	-5.67941166208133	-5.51944199771673	-5.670459756227	-5.74783306772766	-5.96602256350132	-4.55891633785869	-5.52957236393514	-5.69364693703492	-5.70760408235769	-5.48463517206411	-5.96838485343123	-5.27911727379801	-5.64683782033327	-5.71505156430785	-5.53916840703944	-5.62086808930065	-5.62826965041546	-6.3109006581081	-5.43570030450888	-5.31712947474834	-5.44031684599781	-5.6264340032903	-5.61063103884258	-5.88994329381119	-5.82905114920441	-5.53900879521094	-5.81139717676062	-5.61063103884258	-5.45753623081144	-5.42756859167217	-5.44939675581766	-5.35133720297269	-5.43940589650831	-5.92467091252505	-5.74637907795534	-6.78683656022822	-5.30764334890636	-5.45452943071362	-5.70163954833304	-7.28810916213935	-5.8824635469949	-5.9598471772334	-5.9623355634984	-5.43570030450888	-5.97307696244924	-5.62374645160169	-5.88332904619019	-5.44786016687928
CSM5FZ4K_P	-5.99980749859506	-5.64238388778372	-5.7383975506687	-5.41733456151056	-5.61198883897889	-5.78626577764441	-5.99579456213997	-4.60183198800998	-5.57831549489064	-5.68627359836526	-5.64376595129675	-5.47182495393487	-6.06897262937561	-5.17448837631559	-5.63094131828777	-5.72954494793411	-5.56845946254813	-5.60332893904102	-5.6247231146322	-6.44272294825125	-5.3960401901691	-5.42834675436678	-5.38331284032771	-5.60620084477195	-5.59610357524333	-5.81342753011696	-5.66297567866948	-5.57070088417146	-5.77199999480669	-5.59610357524333	-5.45498516848182	-5.41290343070309	-5.43259762859944	-5.26331593604555	-5.46163987424018	-6.02357894773435	-5.76685969471112	-6.81682123666278	-5.31331852414189	-5.42696308232373	-5.65559704451095	-7.8587623813411	-5.83091144446882	-6.12280307781061	-5.98459540953521	-5.3960401901691	-5.95599837691915	-5.64516116961434	-5.95451220133744	-5.48938031380132
CSM5FZ4M	-6.16007173961964	-5.45214430220862	-5.90574974191	-5.56426779417166	-5.72725248432755	-5.9232346841292	-6.07673067958591	-4.34467902618567	-5.58207727671515	-5.67683076986339	-5.67980681309179	-5.43605219776363	-6.73395819278084	-5.11940413247677	-5.60131416447438	-5.74251341749077	-5.64738233337746	-5.74111060236618	-5.64048158030698	-6.7195615319253	-5.27155669776959	-5.45992846343182	-5.31098751062278	-5.64671509151382	-5.65049673205625	-5.68154271150958	-5.70965577466336	-5.48455115169826	-5.75292115465562	-5.65049673205625	-5.39855755359452	-5.40549266328137	-5.42718047484204	-5.35452524866449	-5.41781737183348	-5.86974347085688	-5.73666254020841	-7.67605048607189	-5.31239501674777	-5.4856880395208	-5.57012058711273	-7.68882919174083	-5.89702824182728	-6.02407436436974	-6.05657574723588	-5.27155669776959	-5.73159788256652	-5.48975835341519	-5.9179794942989	-5.56651075030982
CSM5LLGB_P	-7.21261182110647	-5.60931460909906	-5.45044311321368	-5.52934628825479	-5.69177192704294	-5.49781568228709	-5.7243550565658	-5.28803269335771	-5.80030439169769	-5.85926981315189	-5.84381956978356	-5.45652279216902	-9.22095568061793	-4.93463202451663	-5.79362917717301	-5.93107807666798	-5.5157720693858	-5.64670994447583	-5.69308690376188	-6.23038385633696	-5.57516474994891	-5.25699234060412	-5.28296850954732	-5.43946022024113	-5.39833324532288	-5.25079221679171	-5.56852674555777	-5.42653404869777	-5.85857691458433	-5.39833324532288	-5.45652279216902	-5.42544951612227	-5.42261155383088	-5.11754207724975	-5.4341836865017	-6.2239614810464	-5.93944016183588	-6.38280509428475	-5.17080665230359	-5.33426524650296	-5.20446615135697	-7.17253520402253	-5.72725002492787	-6.07785670577807	-5.72693204411036	-5.57516474994891	-5.93441957182853	-5.80293042937639	-6.47280972805462	-5.38382986366031
CSM5MCTZ_P	-6.74383722014911	-5.92126221075578	-5.73923762323369	-5.43636506206713	-5.59808828197302	-5.74383722014911	-6.08883215856667	-5.00769444582649	-5.54082272129559	-5.5978010011156	-5.60729418624023	-5.32109138086212	-7.03313790787714	-4.99338973250604	-5.39765713675522	-5.76362939489198	-5.47524983111952	-5.57923572830258	-5.35943543204271	-6.53089636045674	-5.52860847708834	-5.2380966751333	-5.23851479248838	-5.59563266556875	-5.40989166917602	-5.88035956645712	-5.56324605219719	-5.57685630756145	-6.00165604024191	-5.40989166917602	-5.34300618644209	-5.30858418227826	-5.3160151287056	-5.26234705566597	-5.40882868438545	-6.13640526023495	-5.84349517063127	-7.56088271574096	-5.23905717680432	-5.33980749750418	-5.73427217054116	-7.70642630253417	-5.70348067101147	-6.33791596161418	-6.04598033359925	-5.52860847708834	-5.78337803039526	-5.61726412227471	-6.11830095909418	-5.30305784840895
CSM5MCU4_P	-7.58258425122487	-5.90093460429713	-5.88437770655503	-5.48143736864476	-5.6211981589937	-5.86022423563793	-5.7102038782439	-4.77024276114029	-5.6017562156441	-5.6413829468494	-5.64239366666629	-5.33226042399558	-9.79895733190371	-4.5855967323586	-5.56991906118842	-6.57612179577961	-5.40991391176573	-5.6453183941252	-5.60732044780619	-6.46692726025909	-5.59118338637763	-5.31359946847198	-5.11435425342939	-5.57059305144061	-5.59025013386321	-5.39543124916248	-5.39677696391455	-5.49554829773644	-5.48830385711593	-5.59025013386321	-5.39166589742073	-5.37495150888403	-5.29271314326842	-5.08847311871949	-5.4612494978938	-6.64593677265501	-5.68374198356084	-6.50586789389323	-5.16917454562229	-5.33976710077523	-5.29160149462428	-10.4211295627366	-5.96533617750604	-7.07401780065885	-5.70553859788056	-5.59118338637763	-5.5596024805609	-5.48145517066178	-7.40062975622324	-5.40675620282687
CSM5MCU8_P	-6.08935608609615	-5.6802899507734	-5.52574964928264	-5.36967809637713	-5.64494482386816	-5.55035557732637	-5.91657014696659	-5.36827073729111	-5.49107487656079	-5.58212882645114	-5.61833467071423	-5.38467620195335	-6.30527556128202	-5.24955722095529	-5.48493925379107	-5.64619270253909	-5.33303505703721	-5.67168478874402	-5.51500180823235	-6.15023636961234	-5.7776144219531	-5.23911489983439	-5.3688464935086	-5.56254868794992	-5.5904321098293	-5.6803000159706	-5.93585824790437	-5.38962950401383	-6.03525360031755	-5.5904321098293	-5.36860318820057	-5.42126284592345	-5.390501993981	-5.3699215830474	-5.28735413237271	-6.15699956084253	-5.96165728371607	-6.39403025431915	-5.22812581039486	-5.24840027026499	-5.55706751421392	-9.02810501201118	-5.71198863353941	-6.25117477442447	-5.86220316351341	-5.7776144219531	-5.97249935745153	-5.52906762187933	-6.09008465076682	-5.43183199486564
CSM5MCUA_P	-6.80484333950525	-5.79219209049269	-6.20846942125475	-5.36383015670065	-5.59634652414355	-6.1247896600445	-6.25908849709778	-5.04120655888536	-5.39246881345549	-5.41443766461639	-5.53637833929989	-5.37667104342345	-7.29452979120656	-5.40585901469186	-5.33403487836984	-5.50458787513228	-5.26604027745443	-5.60079440725079	-5.41910123605771	-6.85278199612186	-5.49829044561253	-5.37926337158312	-5.22406298796279	-5.46531099389426	-5.43962135310123	-5.84774706524826	-5.48380940310444	-5.46748494453314	-6.07385104628383	-5.43962135310123	-5.3308198038031	-5.38972852068159	-5.34050238887948	-5.23360973760225	-5.33121188524983	-6.05928518241985	-5.5106322376094	-6.76622911396089	-5.3054925978926	-5.34045502948451	-5.66714815799979	-9.12389489057668	-5.88314088965674	-6.3285446990147	-6.11729425008334	-5.49829044561253	-5.65671282661877	-5.53598058089401	-5.87936537724223	-5.43565646457846
