feature	ANAEROFRUCAT.PWY..homolactic.fermentation	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARO.PWY..chorismate.biosynthesis.I	COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	COA.PWY..coenzyme.A.biosynthesis.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	HISTSYN.PWY..L.histidine.biosynthesis	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.	PWY.1042..glycolysis.IV..plant.cytosol.	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II	PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5686..UMP.biosynthesis	PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6151..S.adenosyl.L.methionine.cycle.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.6168..flavin.biosynthesis.III..fungi.	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6700..queuosine.biosynthesis	PWY.6897..thiamin.salvage.II	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7242..D.fructuronate.degradation	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	TRNA.CHARGING.PWY..tRNA.charging
MSM9VZNX	292.134	370.283	385.547	374.962	295.923	375.406	322.995	537.179	326.262	346.079	322.476	407.957	247.924	544.764	367.596	333.034	398.505	296.435	377.508	252.058	382.446	413.115	470.997	377.033	374.17	400.768	321.857	417.638	326.131	374.17	407.95	401.018	411.916	474.862	377.388	220.534	286.204	242.114	482.201	429.573	443.741	66.7189	325.436	189.784	341.709	382.446	340.059	362.316	229.254	398.49
MSM9VZNZ	283.732	441.301	521.16	444.884	343.818	481.019	326.173	590.881	384.171	368.47	356.07	487.424	249.392	664.2	375.936	381.785	455.235	357.106	452.808	253.534	468.284	541.333	509.573	431.918	418.893	463.211	432.723	534.87	298.618	418.893	474.308	484.493	509.115	633.967	432.931	232.038	324.393	220.319	603.362	519.378	509.013	103.564	390.343	271.051	336.018	468.284	346.924	365.144	251.644	491.05
MSM9VZO2	203.096	399.176	408.129	476.011	380.501	410.3	367.286	562.485	424.023	418.347	395.311	483.241	144.583	669.667	488.622	309.159	480.433	378.196	478.065	247.869	441.17	522.172	565.766	468.066	472.528	512.244	414.459	488.896	462.382	472.528	466.455	486.524	494.078	540.797	502.332	256.561	394.26	244.197	601.464	493.671	560.007	79.6903	359.415	207.745	399.634	441.17	410.578	460.386	261.845	484.787
MSM9VZOG	312.841	462.333	516.569	528.112	434.491	498.795	433.25	887.518	437.143	435.286	429.761	513.715	203.229	768.287	391.363	438.998	518.283	428.565	429.749	313.018	464.515	595.943	588.061	460.766	433.922	536.727	436.483	561.285	423.009	433.922	501.397	503.743	524.438	613.336	499.303	314.531	355.894	330.48	611.575	585.626	559.479	77.2388	384.217	289.408	439.079	464.515	425.741	472.699	334.521	515.797
MSM9VZOI	240.494	377.348	386.618	500.835	429.849	385.533	395.674	893.258	406.529	452.042	442.651	483.129	232.531	807.225	440.527	427.979	494.238	411.028	434.406	193.274	433.74	527.632	535.217	450.727	426.791	511.284	405.426	480.285	469.023	426.791	471.458	474.506	483.756	517.576	479.276	217.7	411.392	218.476	541.727	491.765	542.747	27.072	315.149	158.367	395.065	433.74	467.621	493.75	251.913	487.286
MSM9VZOK	263.871	403.915	527.383	537.44	453.165	498.354	374.116	792.432	409.471	373.237	398.981	532.364	157.415	764.851	422.644	382.57	473.461	466.794	465.49	258.187	476.519	672.316	475.304	503.433	492.646	445.55	474.36	532.887	418.274	492.646	532.364	544.013	544.622	643.982	545.722	296.331	377.347	256.403	624.287	554.882	492.662	135.674	400.053	389.679	374.427	476.519	354.661	443.88	267.519	550.474
MSM9VZOM	220.565	394.404	383.898	557.86	464.894	392.729	435.678	1026.88	470.087	480.545	465.123	580.697	214.486	978.176	480.733	440.405	566.154	452.159	477.859	196.054	523.628	626.677	677.763	531.732	507.402	606.131	536.944	571.299	573.401	507.402	563.596	587.648	601.096	620.8	572.958	226.424	473.054	193.919	670.331	587.635	637.826	37.0829	322.461	161.913	438.303	523.628	561.077	573.332	261.008	570.604
MSM9VZOO	311.548	509.482	401.878	520.658	435.07	401.908	352.727	1002.08	457.219	414.246	426.329	517.744	305.752	845.138	460.434	476.551	496.417	432.004	463.851	225.155	497.404	580.537	642.071	478.035	446.555	523.793	435.914	530.924	489.244	446.555	518.015	530.311	536.594	628.473	511.64	292.43	457.658	162.08	614.008	521.457	561.548	79.2464	323.144	230.031	352.781	497.404	492.591	501.245	331.008	520.239
MSM9VZOQ	324.29	473.569	470.53	518.815	452.409	459.61	429.101	891.272	415.877	422.468	428.091	524.43	219.946	783.267	429.102	427.383	526.639	451.04	466.434	322.639	489.303	602.993	617.395	514.389	490.322	471.707	468.837	522.43	474.247	490.322	517.612	534.071	551.376	600.842	509.675	325.699	378.173	246.506	623.4	566.609	522.055	133.14	396.026	291.173	435.683	489.303	415.563	489.468	347.222	544.618
MSM9VZOS	357.144	408.611	486.396	477.894	393.156	430.045	305.975	862.424	396.634	368.833	372.046	441.564	236.625	564.999	392.931	346.962	446.795	408.785	414.432	282.163	509.829	506.451	568.416	387.258	376.544	539.523	365.221	502.895	319.023	376.544	435.636	442.114	447.066	587.34	471.065	202.843	302.838	194.343	612.19	543.257	561.082	196.564	383.733	275.19	305.573	509.829	275.958	375.34	215.052	457.315
