TaxaID	superkingdom	phylum	class	order	family	genus	species	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
2696063	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerocolumna	Anaerocolumna sedimenticola	0.0384615384615385	0	0	9.82661483388319e-05	0	0.00410677618069815
622	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	0.144230769230769	0	0	0.000842716569095037	0	0.0184804928131417
248315	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella rodentium	0.134615384615385	0	0	0.000765233586862421	0	0.0286298568507157
360104	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	0.0384615384615385	0	0	0.000175845056500144	0	0.0120724346076459
381	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	0.0336538461538462	0	0	0.000328029546234916	0	0.0259433962264151
113107	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	0.360576923076923	0	0	0.00276103670177174	0.00207900207900208	0.0404040404040404
55508	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium agaricidamnosum	0.0625	0	0	0.000206439123300385	0	0.00625
1313	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	0.533653846153846	0	0.00203045894556309	0.0109760683112589	0.0141772261047376	0.129292929292929
39777	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	0.216346153846154	0	0	0.00377039771766408	0	0.0780287474332649
573	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	0.153846153846154	0	0	0.00101499037894995	0	0.0213776722090261
2044467	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp. E4742	0.0625	0	0	0.000223717209602133	0	0.0091324200913242
2021971	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus respiraculi	0.100961538461538	0	0	0.000374799878021647	0	0.016597510373444
1888195	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus himalayensis	0.125	0	0	0.000482511467442776	0	0.0223123732251521
997877	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei	0.0384615384615385	0	0	0.000205993286378028	0	0.0120724346076459
28135	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oris	0.105769230769231	0	0	0.000806979104612657	0	0.0589430894308943
33033	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra	0.216346153846154	0	0	0.0107202014930813	0	0.278118609406953
46125	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	0.168269230769231	0	0	0.00360258558187026	0	0.117886178861789
